資訊時間,成交時間,商品代號,ITEM,成交價,成交量,總量,買單量,賣單量
8450834,8450828,TXFE7,128,9901,1,1966,642,944
8450847,8450837,TXFE7,128,9900,1,1967,643,945
8450847,8450838,TXFE7,128,9900,1,1968,644,946
8450847,8450843,TXFE7,128,9902,1,1969,645,947
8450847,8450843,TXFE7,128,9900,1,1970,646,948
8450847,8450845,TXFE7,128,9902,2,1972,647,949
8450847,8450846,TXFE7,128,9900,1,1973,648,950
8450859,8450847,TXFE7,128,9902,2,1975,649,951
8450859,8450852,TXFE7,128,9900,1,1976,650,952
8450859,8450854,TXFE7,128,9902,2,1978,651,953
8450859,8450854,TXFE7,128,9900,2,1980,652,954
8450872,8450861,TXFE7,128,9902,10,1990,653,957
8450872,8450865,TXFE7,128,9900,1,1991,654,958
8450872,8450871,TXFE7,128,9901,1,1992,655,959
8450884,8450872,TXFE7,128,9902,1,1993,656,960
8450884,8450878,TXFE7,128,9902,1,1994,657,961
8450884,8450882,TXFE7,128,9901,1,1995,658,962
8450897,8450888,TXFE7,128,9902,1,1996,659,963
8450897,8450895,TXFE7,128,9902,1,1997,660,964
8450909,8450903,TXFE7,128,9900,20,2017,668,965
8450909,8450903,TXFE7,128,9901,3,2020,669,966
8450909,8450908,TXFE7,128,9901,1,2021,670,967
8450934,8450922,TXFE7,128,9900,1,2022,671,968
8450934,8450924,TXFE7,128,9901,1,2023,672,969
8450934,8450930,TXFE7,128,9901,1,2024,673,970
8450934,8450930,TXFE7,128,9901,5,2029,674,974
8450934,8450931,TXFE7,128,9899,2,2031,676,975
8450947,8450935,TXFE7,128,9901,1,2032,677,976
8450947,8450938,TXFE7,128,9900,1,2033,678,977
8450947,8450942,TXFE7,128,9900,1,2034,679,978
8450947,8450945,TXFE7,128,9899,1,2035,680,979
8450947,8450945,TXFE7,128,9899,3,2038,683,980
8450959,8450951,TXFE7,128,9899,3,2041,685,981
8450959,8450953,TXFE7,128,9901,10,2051,686,984
8450972,8450959,TXFE7,128,9901,1,2052,687,985
8450972,8450963,TXFE7,129,9900,1,2055,690,986
8450972,8450963,TXFE7,129,9899,2,2055,690,986
8450972,8450967,TXFE7,128,9899,1,2056,691,987
8450984,8450977,TXFE7,128,9899,1,2057,692,988
8450984,8450980,TXFE7,128,9900,1,2058,693,989
8450984,8450981,TXFE7,128,9900,1,2059,694,990
8450984,8450983,TXFE7,128,9900,1,2060,695,991
8450997,8450984,TXFE7,128,9899,1,2061,696,992
8450997,8450987,TXFE7,128,9900,1,2062,697,993
8450997,8450989,TXFE7,128,9899,7,2069,700,994
8451009,8450997,TXFE7,128,9899,1,2070,701,995
8451009,8451001,TXFE7,128,9898,1,2071,702,996
8451009,8451007,TXFE7,128,9899,1,2072,703,997
8451022,8451010,TXFE7,128,9899,1,2073,704,998
8451022,8451011,TXFE7,128,9900,2,2075,705,1000
8451022,8451014,TXFE7,128,9900,1,2076,706,1001
8451022,8451018,TXFE7,128,9900,4,2080,707,1002
8451022,8451020,TXFE7,128,9899,2,2082,708,1003
8451022,8451020,TXFE7,128,9899,6,2088,710,1004
8451034,8451026,TXFE7,128,9900,7,2097,712,1011
8451034,8451034,TXFE7,128,9900,1,2098,713,1012
8451047,8451035,TXFE7,128,9900,1,2099,714,1013
8451047,8451039,TXFE7,128,9899,1,2100,715,1014
8451047,8451040,TXFE7,128,9900,2,2102,716,1016
8451047,8451041,TXFE7,128,9900,2,2104,717,1017
8451047,8451043,TXFE7,128,9900,2,2106,718,1018
8451047,8451044,TXFE7,128,9900,2,2108,719,1019
8451059,8451047,TXFE7,128,9900,2,2110,720,1020
8451059,8451047,TXFE7,128,9899,5,2115,722,1021
8451059,8451049,TXFE7,128,9900,1,2116,723,1022
8451059,8451051,TXFE7,128,9900,1,2117,724,1023
8451059,8451053,TXFE7,128,9900,1,2118,725,1024
8451059,8451054,TXFE7,128,9900,2,2120,726,1026
8451059,8451055,TXFE7,128,9900,1,2121,727,1027
8451059,8451057,TXFE7,128,9901,2,2123,728,1029
8451072,8451060,TXFE7,128,9901,1,2124,729,1030
8451072,8451068,TXFE7,128,9901,2,2126,730,1031
8451072,8451069,TXFE7,128,9900,2,2128,732,1032
8451072,8451069,TXFE7,128,9901,2,2130,733,1034
8451084,8451075,TXFE7,128,9901,2,2132,734,1035
8451109,8451102,TXFE7,128,9901,1,2133,735,1036
8451109,8451104,TXFE7,128,9901,12,2145,736,1041
8451109,8451104,TXFE7,129,9901,1,2154,737,1045
8451109,8451104,TXFE7,129,9902,8,2154,737,1045
8451109,8451104,TXFE7,128,9902,1,2155,738,1046
8451109,8451104,TXFE7,128,9900,1,2156,739,1047
8451147,8451145,TXFE7,128,9901,1,2157,740,1048
8451159,8451147,TXFE7,128,9901,8,2165,743,1049
8451159,8451152,TXFE7,128,9901,2,2167,744,1050
8451159,8451153,TXFE7,128,9902,2,2169,745,1052
8451172,8451161,TXFE7,128,9900,1,2170,746,1053
8451172,8451169,TXFE7,129,9901,1,2172,747,1055
8451172,8451169,TXFE7,129,9902,1,2172,747,1055
8451197,8451184,TXFE7,128,9900,1,2173,748,1056
8451197,8451185,TXFE7,128,9901,1,2174,749,1057
8451209,8451202,TXFE7,128,9901,3,2177,750,1060
8451209,8451204,TXFE7,128,9901,1,2178,751,1061
8451209,8451204,TXFE7,128,9901,8,2186,752,1062
8451209,8451205,TXFE7,128,9901,5,2191,753,1063
8451209,8451208,TXFE7,128,9901,1,2192,754,1064
8451222,8451210,TXFE7,128,9901,8,2200,755,1065
8451222,8451217,TXFE7,128,9901,2,2202,756,1066
8451247,8451238,TXFE7,128,9900,1,2203,757,1067
8451247,8451238,TXFE7,128,9901,2,2205,758,1068
